time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2019-05-03 04 PM,1.34249,1.34284,1.34183,1.34219,1.34265,1.34301,1.34199,1.34236
2019-05-03 05 PM,1.34221,1.34287,1.34213,1.34284,1.34238,1.34303,1.34229,1.34301
2019-05-03 06 PM,1.34287,1.34328,1.34250,1.34265,1.34303,1.34345,1.34266,1.34283
2019-05-03 07 PM,1.34268,1.34270,1.34204,1.34258,1.34285,1.34287,1.34221,1.34274
2019-05-03 08 PM,1.34260,1.34355,1.34165,1.34167,1.34276,1.34373,1.34231,1.34267
2019-05-05 09 PM,1.34569,1.34597,1.34540,1.34542,1.34669,1.34693,1.34590,1.34608
2019-05-05 10 PM,1.34537,1.34624,1.34523,1.34548,1.34605,1.34648,1.34562,1.34573
2019-05-05 11 PM,1.34546,1.34719,1.34537,1.34708,1.34570,1.34745,1.34562,1.34733
2019-05-06,1.34706,1.34829,1.34699,1.34816,1.34730,1.34847,1.34723,1.34835
2019-05-06 01 AM,1.34819,1.34850,1.34706,1.34730,1.34836,1.34868,1.34723,1.34750
2019-05-06 02 AM,1.34733,1.34807,1.34721,1.34755,1.34751,1.34824,1.34741,1.34771
2019-05-06 03 AM,1.34757,1.34787,1.34725,1.34749,1.34774,1.34803,1.34743,1.34769
2019-05-06 04 AM,1.34753,1.34773,1.34666,1.34693,1.34771,1.34791,1.34687,1.34711
2019-05-06 05 AM,1.34691,1.34786,1.34681,1.34767,1.34709,1.34804,1.34700,1.34785
2019-05-06 06 AM,1.34770,1.34932,1.34759,1.34863,1.34787,1.34948,1.34775,1.34881
2019-05-06 07 AM,1.34865,1.34911,1.34693,1.34755,1.34884,1.34928,1.34718,1.34772
2019-05-06 08 AM,1.34752,1.34775,1.34690,1.34775,1.34770,1.34791,1.34708,1.34791
2019-05-06 09 AM,1.34772,1.34776,1.34704,1.34739,1.34790,1.34793,1.34722,1.34759
2019-05-06 10 AM,1.34742,1.34759,1.34694,1.34701,1.34761,1.34774,1.34711,1.34720
2019-05-06 11 AM,1.34703,1.34737,1.34648,1.34693,1.34723,1.34754,1.34665,1.34710
2019-05-06 12 PM,1.34690,1.34872,1.34683,1.34849,1.34707,1.34888,1.34701,1.34865
2019-05-06 01 PM,1.34847,1.34922,1.34668,1.34693,1.34862,1.34937,1.34685,1.34712
2019-05-06 02 PM,1.34696,1.34768,1.34519,1.34525,1.34714,1.34785,1.34536,1.34540
2019-05-06 03 PM,1.34526,1.34577,1.34442,1.34468,1.34544,1.34594,1.34461,1.34484
2019-05-06 04 PM,1.34465,1.34553,1.34420,1.34526,1.34483,1.34572,1.34436,1.34543
2019-05-06 05 PM,1.34528,1.34545,1.34389,1.34445,1.34545,1.34562,1.34407,1.34463
2019-05-06 06 PM,1.34443,1.34485,1.34333,1.34371,1.34460,1.34502,1.34349,1.34389
2019-05-06 07 PM,1.34373,1.34393,1.34317,1.34379,1.34391,1.34410,1.34334,1.34395
2019-05-06 08 PM,1.34380,1.34475,1.34369,1.34457,1.34398,1.34520,1.34386,1.34502
2019-05-06 09 PM,1.34465,1.34631,1.34465,1.34542,1.34510,1.34676,1.34510,1.34587
2019-05-06 10 PM,1.34546,1.34577,1.34497,1.34508,1.34591,1.34603,1.34521,1.34533
2019-05-06 11 PM,1.34507,1.34512,1.34475,1.34484,1.34530,1.34530,1.34495,1.34503
2019-05-07,1.34485,1.34500,1.34404,1.34411,1.34506,1.34521,1.34422,1.34430
2019-05-07 01 AM,1.34414,1.34414,1.34203,1.34203,1.34433,1.34433,1.34221,1.34221
2019-05-07 02 AM,1.34204,1.34249,1.34190,1.34203,1.34224,1.34268,1.34206,1.34221
2019-05-07 03 AM,1.34200,1.34286,1.34177,1.34220,1.34219,1.34304,1.34196,1.34239
2019-05-07 04 AM,1.34217,1.34271,1.34057,1.34147,1.34238,1.34296,1.34121,1.34166
2019-05-07 05 AM,1.34149,1.34290,1.34149,1.34270,1.34169,1.34307,1.34168,1.34291
2019-05-07 06 AM,1.34272,1.34368,1.34197,1.34258,1.34294,1.34386,1.34213,1.34273
2019-05-07 07 AM,1.34260,1.34330,1.34204,1.34323,1.34277,1.34349,1.34223,1.34341
2019-05-07 08 AM,1.34325,1.34429,1.34321,1.34424,1.34344,1.34446,1.34339,1.34445
2019-05-07 09 AM,1.34429,1.34455,1.34393,1.34422,1.34445,1.34474,1.34413,1.34439
2019-05-07 10 AM,1.34425,1.34588,1.34418,1.34581,1.34441,1.34607,1.34436,1.34600
2019-05-07 11 AM,1.34579,1.34710,1.34546,1.34709,1.34597,1.34730,1.34562,1.34727
2019-05-07 12 PM,1.34706,1.34739,1.34603,1.34682,1.34725,1.34756,1.34619,1.34697
2019-05-07 01 PM,1.34683,1.34840,1.34637,1.34793,1.34700,1.34858,1.34654,1.34811
2019-05-07 02 PM,1.34795,1.34833,1.34704,1.34737,1.34814,1.34850,1.34720,1.34753
2019-05-07 03 PM,1.34739,1.34794,1.34665,1.34724,1.34755,1.34810,1.34683,1.34739
2019-05-07 04 PM,1.34718,1.34753,1.34658,1.34701,1.34736,1.34771,1.34676,1.34717
2019-05-07 05 PM,1.34704,1.34867,1.34678,1.34849,1.34719,1.34884,1.34698,1.34867
2019-05-07 06 PM,1.34852,1.34879,1.34770,1.34790,1.34869,1.34897,1.34787,1.34807
