time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021-06-18 05 PM,1.38178,1.38286,1.38159,1.38203,1.38194,1.38304,1.38176,1.38221
2021-06-18 06 PM,1.38199,1.38323,1.38170,1.38183,1.38217,1.38341,1.38186,1.38200
2021-06-18 07 PM,1.38180,1.38218,1.38074,1.38087,1.38198,1.38236,1.38093,1.38105
2021-06-18 08 PM,1.38086,1.38125,1.37909,1.37972,1.38110,1.38182,1.37935,1.38122
2021-06-20 09 PM,1.37972,1.38170,1.37931,1.37931,1.38122,1.38320,1.38076,1.38081
2021-06-20 10 PM,1.37918,1.38144,1.37918,1.38094,1.38068,1.38275,1.38068,1.38244
2021-06-20 11 PM,1.38100,1.38225,1.38100,1.38156,1.38250,1.38257,1.38168,1.38175
2021-06-21,1.38158,1.38280,1.38132,1.38273,1.38178,1.38300,1.38154,1.38290
2021-06-21 01 AM,1.38274,1.38282,1.38113,1.38114,1.38293,1.38301,1.38131,1.38134
2021-06-21 02 AM,1.38113,1.38218,1.38073,1.38130,1.38131,1.38237,1.38091,1.38149
2021-06-21 03 AM,1.38134,1.38137,1.37856,1.37937,1.38149,1.38155,1.37874,1.37952
2021-06-21 04 AM,1.37938,1.38020,1.37891,1.37997,1.37956,1.38037,1.37908,1.38013
2021-06-21 05 AM,1.37992,1.38086,1.37905,1.38086,1.38012,1.38106,1.37924,1.38106
2021-06-21 06 AM,1.38089,1.38272,1.38018,1.38189,1.38107,1.38290,1.38033,1.38207
2021-06-21 07 AM,1.38192,1.38339,1.38003,1.38323,1.38209,1.38356,1.38018,1.38338
2021-06-21 08 AM,1.38321,1.38446,1.38311,1.38407,1.38336,1.38461,1.38326,1.38423
2021-06-21 09 AM,1.38404,1.38771,1.38376,1.38703,1.38422,1.38788,1.38392,1.38718
2021-06-21 10 AM,1.38701,1.38867,1.38582,1.38770,1.38715,1.38885,1.38602,1.38785
2021-06-21 11 AM,1.38767,1.38869,1.38686,1.38762,1.38784,1.38884,1.38702,1.38777
2021-06-21 12 PM,1.38764,1.38795,1.38662,1.38736,1.38779,1.38813,1.38677,1.38751
2021-06-21 01 PM,1.38730,1.38979,1.38707,1.38979,1.38749,1.38999,1.38722,1.38999
2021-06-21 02 PM,1.38982,1.39185,1.38945,1.39034,1.39001,1.39201,1.38963,1.39048
